"id","name","price","type","categories","X","Y","geometry"
"nEzDanNBnwwXjEOXTzg-lA","Gratiot Central Market","$$","grocery store","Farmers Market/Meat Shops",-83.0383758544922,42.3446388244629,c(-83.0383758544922, 42.3446388244629)
"4mxyFevxfBvqaKmz3DXhJQ","Eastern Market","$$","grocery store","Farmers Market",-83.0408269834329,42.3484740376421,c(-83.0408269834329, 42.3484740376421)
"H5hd7trFTJA80aBOc4mYBg","La Carreta","N/A","grocery store","Grocery",-83.0855168713167,42.3232005270282,c(-83.0855168713167, 42.3232005270282)
"7UXoYLeFsjUPPe15xMi_rQ","La Carreta Market","N/A","grocery store","Grocery",-83.1249,42.3172,c(-83.1249, 42.3172)
"C-P317C6HEURCEXDNj3wCA","Brush Park Bodega ","N/A","grocery store","Grocery/Beer/ Wine & Spirits/Cocktail Bars",-83.05038,42.3441,c(-83.05038, 42.3441)
"DpZvOi89O7TgUXbJhUS93w","La Palapa Del Parian","N/A","restaurant","Mexican/Desserts/Breakfast & Brunch",-83.1295712292194,42.304756,c(-83.1295712292194, 42.304756)
"vn5qICoTfm_UpJDf8PCd-A","Adelina","N/A","restaurant","Italian/Mediterranean/Cocktail Bars",-83.047456,42.332922,c(-83.047456, 42.332922)
"JXFTTv4unOTRa2BTyVpZnQ","Presley's Kitchen & Bar","N/A","restaurant","American/Salad/Cocktail Bars",-83.050527,42.3356751528448,c(-83.050527, 42.3356751528448)
"jFQ9xzkHluzjjg9vy9XtRg","The Eagle","$$","restaurant","Southern/American",-83.0574217739749,42.3462602535811,c(-83.0574217739749, 42.3462602535811)
"7ArIKwojlm_Yca29HnGDfQ","Wright & Company","$$$","restaurant","Gastropubs/New American/Tapas/Small Plates",-83.04902,42.33523,c(-83.04902, 42.33523)
"iK0FUjpzLMm0mVVRk0RjZg","El Asador","$$","restaurant","Mexican/Seafood/Steakhouses",-83.122085,42.304759,c(-83.122085, 42.304759)
"HTCstEV_jNFvRn0Tw40vWg","La Noria Bistro","$$","restaurant","Mexican/Italian/Cocktail Bars",-83.11076,42.33104,c(-83.11076, 42.33104)
"NhqrYxqeB2uQgQKYLdCIWQ","La Jalisciense","$","restaurant","Mexican/Salad/Breakfast & Brunch",-83.0913281528226,42.3219277143739,c(-83.0913281528226, 42.3219277143739)
"gL6l1EqphkyLqER5lgmReg","Standby","$$","restaurant","New American/Cocktail Bars",-83.0461140631014,42.3344844608147,c(-83.0461140631014, 42.3344844608147)
"wg7XFjSpK7HHHLtt0Sb88w","Basan Detroit","N/A","restaurant","Cafes",-83.05672,42.34147,c(-83.05672, 42.34147)
"JxWPIqar9gaO7__ViseRQg","Gilly's Clubhouse","N/A","restaurant","Sports Bars/Cafes/Lounges",-83.04947,42.33578,c(-83.04947, 42.33578)
"BIKFj5WsGQg_bdYpgfmLtA","Vigilante Kitchen + Bar","N/A","restaurant","New American/Asian Fusion",-83.065554,42.347484,c(-83.065554, 42.347484)
"zpMaHHdBtXphaKkRy5r5NA","Union Assembly","$$","restaurant","New American/Pizza",-83.051814,42.338024,c(-83.051814, 42.338024)
"vFprT63w4KGUkLbV6Bt55w","Revel Steak","N/A","restaurant","Steakhouses",-83.06854,42.338402,c(-83.06854, 42.338402)
"zZldbS9xvdEQuMBzOVwzvA","Olin Bar & Kitchen","$$$","restaurant","New American/Tapas/Small Plates",-83.048142,42.334545,c(-83.048142, 42.334545)
"nVlsHOPxFmFnA9wj_DS_UA","Xochimilco Restaurant","$$","restaurant","Mexican",-83.0849513411522,42.3232177644968,c(-83.0849513411522, 42.3232177644968)
