id,name,price,type,latitude,longitude,categories
9zI10-FuCxKqd0FAHwUFRA,Lumen Detroit,$$,restaurant,42.3345218,-83.0546893,New American/Seafood/Cocktail Bars
jbN9U4dRN_EyLDpFTXvIuQ,Shanghai Bistro,$,restaurant,42.30596,-83.05935,Chinese
ngu3My-XGzNNL7Bxul5ulQ,Ottava Via,$$,restaurant,42.331716,-83.065696,Pizza/Italian/Sandwiches
YGNjgQvkyDvt9BI4lUlbFQ,Moro's Dining,$$,restaurant,42.2583299628244,-83.2075642771762,Italian
rNb5Cemo-pYT7pd5pknJBg,La Salsa Mexican Cuisine,$,restaurant,42.2857,-83.162642,Mexican/Breakfast & Brunch
lVwQGPbcXzeIMUMPI18zEQ,Big Moe's Kitchen,N/A,restaurant,42.323525,-83.17022,New American/Middle Eastern
qa70o0JbMVMQJf4fvWiZaw,Johnny Noodle King,$$,restaurant,42.3188542,-83.0743694,Ramen/Chinese/Noodles
MSXCXbm5b94SPDsfthuKTw,The Great Commoner,$$,restaurant,42.3060012,-83.24412098685964,Breakfast & Brunch/New American/Seafood
PSGMS7SUs3m5Pp_lOpUjKA,Malek Al Kabob - Dearborn,$$,restaurant,42.30568,-83.24529,Mediterranean/Middle Eastern/Seafood
V_zbPdlQah8Nu6jruZPzEg,Tortina,N/A,restaurant,42.283252995103325,-83.17038271576165,Creperies/Juice Bars & Smoothies/American
E4utc1JroWS3EaNP7oGf_Q,Moore Soulfood,N/A,restaurant,42.26705126552704,-83.16255092103397,Soul Food/Southern/Seafood
LqAEATGcM7A21hb1zjN7KQ,Cibo Modern Mediterranean,N/A,restaurant,42.32906,-83.05463,Mediterranean/Italian/Greek
RKh0sAVshppAC2LF3GSdQw,Vecino,N/A,restaurant,42.348444745751465,-83.0673879607711,Bars/Seafood/New Mexican Cuisine
ko1WPwcuifvVoxav9gyZxg,Supergeil,$$,restaurant,42.331566,-83.080071,Bars/Mediterranean/Turkish
POpTWoya0ebFqzhcHAu2VA,Taystee's Burgers,$$,restaurant,42.32938194433683,-83.1619490376251,Burgers/Fast Food
06fEC9ng12RwUj-EHqsPwA,Major Biddles,$$,restaurant,42.2249308618802,-83.1505065411329,American/Beer Bar/Seafood
zJ4fQ7vhp01cSouRZcHlcg,Fratelli's Eateries,N/A,restaurant,42.33296,-83.175933,Pizza/Chicken Wings/Burgers
I05n0mnefd9YhD1upBV5Zg,The Taco Stand Taqueria,$,restaurant,42.2657889,-83.2008327,Tacos
6jknXNTeQTJ3oKaFGXE-nQ,Turkish Village,N/A,restaurant,42.30601,-83.24346,Salad/Turkish/Sandwiches
WiKKNXaHC4Zino2A1m3ftQ,Royale with Cheese,$$,restaurant,42.350337903122,-83.0634118616581,Burgers
dgePOeVxgz4oUamFJL15-g,Zukins Rib Shack,$,restaurant,42.26732,-83.18257,Pizza/Barbeque/Seafood
CnCpxcw9r6lgKDk4br8TKA,Bakersfield DET,$$,restaurant,42.34518,-83.05572,Tacos/Bars
D6HnRgIfR9gz27I7fBS-tw,Alpino,N/A,restaurant,42.32994587232396,-83.06510190000002,German/French/Italian
orxF-A4tV3FJu7lnt-l59A,Savvy Sliders,N/A,restaurant,42.2844593,-83.1681246,Burgers/American
M0XcvvUYkZmbG5ppG1oqvw,Bar Pigalle,N/A,restaurant,42.344947,-83.05397,Cocktail Bars/French/Breakfast & Brunch
DsXh8jluV0BaSkVhxQre8Q,SheWolf Pastificio & Bar,$$$,restaurant,42.34795300282243,-83.06269721729974,Italian/Bars
MlKmMAF_rFjgy0nX_fk8Mw,Cork & Gabel,$$,restaurant,42.33111,-83.07941,Comfort Food/Italian/Irish
QUPAXavtWd6LKnvsWV6ywQ,Detroit Shipping Company,$$,restaurant,42.34401907742649,-83.06146026886441,Beer Gardens/Food Court
YToERl_vqJFwbvWTOI7XFw,Detroit 75 Kitchen,$$,restaurant,42.31082,-83.09453,Food Trucks/American/Sandwiches
yRhM23WYVMS1lYenbVjr8A,Ima Izakaya,$$,restaurant,42.33163354764796,-83.0753548,Izakaya
txYrixg-p7qm_js8HQOrZQ,The Fish Market,$,restaurant,42.31981,-83.1759304,Seafood Markets/Seafood
TaKAWbdHN4nDljQSgsgPaw,Pine Coast ,N/A,fast casual,42.320727,-83.180339,Cafes/American
MSXCXbm5b94SPDsfthuKTw,The Great Commoner,$$,fast casual,42.3060012,-83.24412098685964,Breakfast & Brunch/New American/Seafood
IhT_OwzjpkXMpj1OkaK8PQ,Z Shawarma King,$$,fast casual,42.2597414,-83.207061,Halal/Lebanese
PL_CW2a8Q7OKzM20W94ekg,Sahara Restaurant,$$,fast casual,42.3027837863277,-83.25654256891099,Middle Eastern/Salad/Soup
I-hFaIy6LHx4ANfOhooBLA,Modern Greek and Salad Bar,$$,fast casual,42.30585,-83.24425,Greek/Salad
YToERl_vqJFwbvWTOI7XFw,Detroit 75 Kitchen,$$,fast casual,42.31082,-83.09453,Food Trucks/American/Sandwiches
WiKKNXaHC4Zino2A1m3ftQ,Royale with Cheese,$$,fast casual,42.350337903122,-83.0634118616581,Burgers
YzaGq6tIR4pGdc7BGPh78w,Bangkok 96 Street Food,$$,fast casual,42.34422,-83.06156,Asian Fusion/Thai/Food Stands
uj0R7Wvdww5H84kp5q955A,Motz’s Burgers,$,fast casual,42.30272,-83.11348,Burgers
orxF-A4tV3FJu7lnt-l59A,Savvy Sliders,N/A,fast casual,42.2844593,-83.1681246,Burgers/American
AotUBPZ-n-Oy4h3CMREaWQ,District 12 - Dearborn,$$,fast casual,42.304347,-83.2513929,Sandwiches/Salad/Burgers
zpwMCd59GNXWF6yGlBUKgQ,Qahwah House,$,fast casual,42.306396,-83.244352,Coffee & Tea/Desserts/Cafes
t8VpXuZOibw0fPX_9U6r2A,Los Arcos Market,$,fast casual,42.248633612398,-83.1806783467634,Grocery/Mexican
3WGrIVHVZ4RqI1-ptJsJqw,SuperCrisp,$$,fast casual,42.35553,-83.06575,Fast Food/Burgers/Halal
cuemikopY0jp622-5_FRDg,Ford's Garage,$$,fast casual,42.3071919657309,-83.2377644771623,Burgers/Beer Bar/Desserts
POpTWoya0ebFqzhcHAu2VA,Taystee's Burgers,$$,fast casual,42.32938194433683,-83.1619490376251,Burgers/Fast Food
N-IqK4uOoJvS1lpM4wc6OA,Lorent Coney Island,N/A,fast casual,42.2850932258945,-83.1628272682428,Hot Dogs/Breakfast & Brunch/Diners
x4KLlXkaZtrBL2Gq8qUyMA,The Butcher's Grille,$$,fast casual,42.303332,-83.255635,Middle Eastern/Steakhouses/Halal
oCwO_05Tn2ruZDkytewnIw,Sheeba Restaurant,$$,fast casual,42.32076,-83.17959,Middle Eastern/Halal
m5FOUuk5BKTr6j2HeuleCA,Paradise Street Eats & Biryani,$$,fast casual,42.30568759579706,-83.24460564691157,Indian/Halal/Himalayan/Nepalese
NTG4tbcIHFqlixnAfKXvww,Zaytoona Mediterranean Grill,$$,fast casual,42.3295827499029,-83.2031066809021,Mediterranean/Juice Bars & Smoothies/Halal
I05n0mnefd9YhD1upBV5Zg,The Taco Stand Taqueria,$,fast casual,42.2657889,-83.2008327,Tacos
cXxHJRI2NHAWUv_N1g-K-Q,Major Tomato,$$,fast casual,42.258247,-83.2077879,Pizza/Salad/Italian
UxGilCouJPZ7e3HmhQFngA,Zo's Good Burger - Dearborn,$,fast casual,42.3203960250867,-83.1815347644181,Halal/Fast Food/Burgers
DP8mtOJKiVV5oZ3Q2Ayotg,Sexy Steak,N/A,fast casual,42.33502,-83.05498,Steakhouses/Halal/Cocktail Bars
lVwQGPbcXzeIMUMPI18zEQ,Big Moe's Kitchen,N/A,fast casual,42.323525,-83.17022,New American/Middle Eastern
bBNJhTSqgY1q0aKuSuxM1Q,Hamido,$,fast casual,42.343824,-83.174247,Lebanese
66OeH9RD62D3bXbqefjYvw,Giovanni's Ristorante,$$$,fast casual,42.2903220548957,-83.1459120674591,Italian
rNb5Cemo-pYT7pd5pknJBg,La Salsa Mexican Cuisine,$,fast casual,42.2857,-83.162642,Mexican/Breakfast & Brunch
qa70o0JbMVMQJf4fvWiZaw,Johnny Noodle King,$$,fast casual,42.3188542,-83.0743694,Ramen/Chinese/Noodles
3Nbs9f7DxP3siSu1pjLj1w,Takoi,$$,fast casual,42.3316432369511,-83.0808343566223,Thai/Pan Asian/Cocktail Bars
4-ysk87vDN2LnrwfIEk_Cw,Baba's Grill,$$,fast casual,42.320945,-83.178838,Lebanese/Halal
k_wSiDIZYJOBJYdILFFbQw,Gus & Us Grill,$,fast casual,42.277753,-83.21689,Greek/Burgers/Breakfast & Brunch
qDLHimsYJKHcqL_4V4p4bQ,Brome Modern Eatery,$$,fast casual,42.30607,-83.24534,Burgers/New American/Juice Bars & Smoothies
vc0b_C98tLSje73pgtlhWA,Bierkeller,$$,fast casual,42.2273889954604,-83.2306288182735,German/American/Bars
rwCtf0txoy3Ow1CocE4x5A,Duly's Place,$,fast casual,42.3181299,-83.10176,Breakfast & Brunch/Hot Dogs/Sandwiches
8XANhEGOyPktUlRC2hC9pw,Nami Sushi,N/A,fast casual,42.2921372,-83.2501094,Japanese/Food Trucks/Sushi Bars
dFKgdbvZGtoE_TiELSdb2g,Sabina's Restaurant,$$,fast casual,42.281120300293,-83.1867752075195,Polish
65pRcC4awElAnzH4io9Chw,Batch Brewing Company,$$,fast casual,42.3283429981483,-83.0632939479199,New American/Brewpubs
s8x1eRJyIKX0xrjNLTFG7w,The Himalayan Flames,$$,fast casual,42.305171,-83.249325,Himalayan/Nepalese/Indian
wOI4clkVAujjHvRaoEQO-Q,Avenue Brunch House,$$,fast casual,42.3056863023115,-83.245456404984,Breakfast & Brunch/Waffles/Burgers
F5n71dADAgUqYPOqFkQg9Q,Rocco's Italian Deli,$$,fast casual,42.3464699,-83.06157,Italian/Sandwiches/Salad
e4zzkjIbzCvW31aguHKc7w,Campestre Chicken,N/A,fast casual,42.2353705041661,-83.1796588003635,Salvadoran/Peruvian
StJ0uL1SPoQhc13CHVUceQ,Sareini's Pizzeria,$,fast casual,42.3061827,-83.1877363,Pizza
jcIOgzXEqkCtwNaU4qjU6g,Al-Ameer,$$,fast casual,42.3444999,-83.16741,Middle Eastern
stdSlDgb8uXCtjY6kzziiA,Malek Al Kabob - Taylor,$$,fast casual,42.226439,-83.253932,Mediterranean/Middle Eastern/Seafood
zNFKvxlGtHU52F8_zB9BdA,La Favorita,$,fast casual,42.2820756019066,-83.176447470731,Mexican/Grocery
CnCpxcw9r6lgKDk4br8TKA,Bakersfield DET,$$,fast casual,42.34518,-83.05572,Tacos/Bars
GOCIT6vpmSjY57i8tpYYnQ,Town Bakery & kitchen,N/A,fast casual,42.28043660523728,-83.18616895973963,Halal/Middle Eastern/Sandwiches
tfCSDMnDEdWPOoBPk6jqog,Roman Village Cucina Italiana,$$,fast casual,42.3058,-83.14436,Italian/Pizza/Wine Bars
rlVtDsEPA381dqaKiBIR-g,Dollar Tree,$,dollar store,42.3158417,-83.1077118,Discount Store
5QCKGB1jFD83o4C_iw_NMg,Dollar General,N/A,dollar store,42.2816,-83.18212,Discount Store/Grocery
SYlLy6eNAbLypoxF3CNIrA,Dollar Tree Store,N/A,dollar store,42.2541827623418,-83.1924533466061,Discount Store
h78YmuWTJHxARW129xEFjQ,Dollar General,N/A,dollar store,42.25614,-83.22916,Discount Store/Grocery
okbEWycRkN6bYN7Gwb6usA,Dollar General,N/A,dollar store,42.26126,-83.20466,Grocery/Discount Store
zH08yPMLolctafRrV_3UqQ,Nice Price,$,dollar store,42.3176485,-83.1029396,Discount Store
XijgOBgrV-xHN-NitOPKjQ,Dollar Center,$,dollar store,42.343913075069,-83.1969000399113,Discount Store
puplXfi5b8956m0iwk5czQ,Dollar Depot,N/A,dollar store,42.2802925109863,-83.1885299682617,
UH7KWdRWBvApe71YwvYnSg,Family Dollar Store,N/A,dollar store,42.2737007,-83.1350327,Discount Store
FHB4RIg5_KLYwIXNrSZ_mQ,Dollar Tree,N/A,dollar store,42.22751691329403,-83.25319407055368,Discount Store
AkPesFSdEUL3NCuIz2RrbQ,Dollar Tree,N/A,dollar store,42.2313117311151,-83.1810914352536,Discount Store
dmrdtsInyvTXRb2de8vjRw,Dollar Treasure,N/A,dollar store,42.24398,-83.195171,Discount Store
7E_J0rOTLRhMa-0wYi4oww,Family Dollar,$,dollar store,42.28198,-83.23114,Discount Store
LAddWQMZN4OGivXPht4KfQ,Artloft Midtown,N/A,dollar store,42.3504197,-83.0632317,Home Decor/Accessories/Arts & Crafts
OayPEwyTbPleXTB_2d40LA,Dollar Tree,$,dollar store,42.2312393188477,-83.2294006347656,Discount Store
aHfAwGkuI04Y37igatvqIg,Dollar Tree - Joy Rd,N/A,dollar store,42.35736808519114,-83.22298016399145,Discount Store/Cosmetics & Beauty Supply/Home Decor
b4KDZIyrWp3K4KG2sZGHuA,Dollar Tree,N/A,dollar store,42.2580260732513,-83.2469983398914,Discount Store
3RGVpnEdO4ON9Yo7Ha4iIg,Five Below,$,dollar store,42.2839484,-83.20772269999999,Discount Store
JjSM-l_CVMkNGKQTDusGxw,Family Dollar,N/A,dollar store,42.26977,-83.18167,
0MhWbTpUk59lihQL2P93fw,Fairlane Town Center,$$,dollar store,42.31688906273245,-83.2228274,Shopping Centers
QxRjZ21tKoCpdGthKDpLwA,City Bird,$$,dollar store,42.3515988886356,-83.0650050938129,Arts & Crafts/Home Decor/Jewelry
NH3zIWEaMJvteOReKUwe1w,Dollar General,N/A,dollar store,42.32347,-83.195,Grocery/Discount Store
EIvdp7Fa6JiJ26QaK7hu5A,Party City,N/A,dollar store,42.277562,-83.213079,Party Supplies/Toy Stores/Costumes
rJ0WoXiKfWFrShiEB66jdA,99 Cents Store,N/A,dollar store,42.3433449,-83.2311281,Cosmetics & Beauty Supply/Drugstores
OfZHc8S7HYBTv4oQpL3yKQ,Factory Direct,N/A,dollar store,42.2894,-83.057586,Electronics/Outlet Stores/Computers
TB4t72pG57ADfI71F6DcTA,Family Dollar,N/A,dollar store,42.2435818325308,-83.1523787230253,Discount Store
2onGCrIvV6kcH6yfIFcCNg,D & D Moving & Storage,N/A,dollar store,42.36658245892445,-83.0063980000001,Movers/Self Storage/Packing Supplies
MjyFvUIr5r_-faTV1Rf_2Q,Family Dollar,N/A,dollar store,42.3168144226074,-83.1920623779297,Discount Store
OTZ5NdG59vVz4oQ8TtLKVg,Ulta Beauty,$$,dollar store,42.2827596,-83.2053846,Cosmetics & Beauty Supply/Hair Salons/Skin Care
DhH82jPbLYc56Z6pnpdW7w,Goodwill - Dearborn,$,dollar store,42.3043957,-83.2518249,Thrift Stores
jlSQ1Rkr62R3PyP0wF2jVg,Target,$$,dollar store,42.285239,-83.206598,Department Stores/Furniture Stores/Electronics
OuBpaoOCzRVyUY0SS6NR1w,Family Dollar,N/A,dollar store,42.3312988,-83.1417313,Discount Store
f2pyhxG3bUu0KQXwaMRoMg,Betsy's Bride & Formal,$$,dollar store,42.324024,-83.195069,Bridal
tbYKvvuHnEqd--1D-Pw5bw,Hello Records,$,dollar store,42.223046262177554,-83.18069600277339,Vinyl Records
njO0hkRm7g9Q6h9Qgrx1-w,Home Town Beverage,N/A,dollar store,42.2837371826172,-83.2508697509766,"Tobacco Shops/Beer, Wine & Spirits/Convenience Stores"
Stji2OE7pRgD4r1qOb_hmw,Family Dollar,N/A,dollar store,42.2097689,-83.1810866,Discount Store
z9Vmm58TNttdXbCU3NCzNA,Paragon Sight & Sound,N/A,dollar store,42.28581,-83.805106,Home Theatre Installation/Home Automation/High Fidelity Audio Equipment
rKz3ldV4NkJbbMeH92UVJA,Plato's Closet,$$,dollar store,42.278715,-83.215067,Discount Store/Accessories/Women's Clothing
URTfT_eI4WUp0VvH-CK1nQ,Habitat for Humanity ReStore Farmington Hills,N/A,dollar store,42.4442,-83.32843,Furniture Stores/Donation Center
1TaKH9w0qufwMzRsjQzFAA,D & L Garden Center and Landscaping,$$,dollar store,42.256462097168,-83.2491302490234,Nurseries & Gardening
i8oS7onZb2RE8UTGC2q_iA,Rudy's Exchange,$$,dollar store,42.20761,-83.17997,Pawn Shops
_3cZdoZeGBTngJGRGVFkeg,Men's Wearhouse,$$$,dollar store,42.30504,-83.24745,Men's Clothing/Formal Wear/Bespoke Clothing
CW9qAcghS-SlTu_NVsqCVw,John K King Used & Rare Books,$,dollar store,42.327576629138875,-83.05708393581877,Used Bookstore
3dDnLR_DXUtLpbjmOi38SQ,Dollar Tree,N/A,dollar store,42.3445511,-83.1666565,
UxGilCouJPZ7e3HmhQFngA,Zo's Good Burger - Dearborn,$,fast food,42.3203960250867,-83.1815347644181,Halal/Fast Food/Burgers
POpTWoya0ebFqzhcHAu2VA,Taystee's Burgers,$$,fast food,42.32938194433683,-83.1619490376251,Burgers/Fast Food
p2zYjkjIYL_kyu8m1r-QaA,Tubby's,N/A,fast food,42.28513259215679,-83.16282730000002,Sandwiches/Fast Food/Burgers
7orZgupOKK9I7fYekdhIhA,Dave's Hot Chicken,$$,fast food,42.3055576,-83.24827839,Halal/Chicken Shop
We-1vbVD0LgbijMz6jOvfA,Chick-fil-A,$$,fast food,42.2800002,-83.2072136,Fast Food/Chicken Shop/Salad
2MAkXewWXCt5MyQ85Yc-eA,New York Deli,$$,fast food,42.3152372430938,-83.2001666641787,Delis/Sandwiches/Halal
z_Xl1wZbVk5L7i7_DIbqJA,Telway Hamburgers,$,fast food,42.33139,-83.12787,Burgers/Sandwiches
I05n0mnefd9YhD1upBV5Zg,The Taco Stand Taqueria,$,fast food,42.2657889,-83.2008327,Tacos
dfYuOraVYyZBHrvvuaI6WA,Panda Express,$,fast food,42.281827,-83.20648,Chinese/Fast Food
kYWpnfaPEQrURdWJg4Zfuw,Culver's,N/A,fast food,42.259318,-83.20922,Burgers/Ice Cream & Frozen Yogurt/Fast Food
a4n9cXY-VVxMc0ZRxyJnTg,Chicken Shack,$$,fast food,42.255916595459,-83.1921234130859,Chicken Wings/Barbeque/Seafood
Tkwj9hwMMfFUXjnvfCazrw,Jersey Mike's Subs,N/A,fast food,42.304043438942,-83.25184887503029,Fast Food/Delis/Sandwiches
LTp6jHMIkfg1eWA_DZoulA,Burger King,N/A,fast food,42.28086997788807,-83.1879997738897,Burgers/Fast Food
NpfZaYIxspPgqUW5VSWMfw,Chick-fil-A,$,fast food,42.351406,-83.056419,Fast Food/Chicken Shop/Salad
WiKKNXaHC4Zino2A1m3ftQ,Royale with Cheese,$$,fast food,42.350337903122,-83.0634118616581,Burgers
Okp_BzlosKQmeXBVU998hA,Boardwalk Fries,$,fast food,42.3302264157291,-83.1572807012416,Burgers/Fast Food
VsF2zBTX-PqkV0T2pRTTIg,A&W Restaurant,$$,fast food,42.2510396,-83.18128,Burgers/Fast Food/Hot Dogs
